,team,formation,clean_sheets_total,clean_sheet_rate,failed_to_score,avg_goals_scored,avg_goals_conceded,shots_on_target_per_game,shots_total_per_game,corners_per_game,fouls_per_game,offsides_per_game,yellow_cards,red_cards,total_passes_avg,accurate_passes_avg,pass_accuracy
0,Argentina,4-4-2,3,0%,0,2.1,1.1,0,0,0,0,0,"{'0-15': {'total': None, 'percentage': None}, '16-30': {'total': None, 'percentage': None}, '31-45': {'total': 3, 'percentage': '17.65%'}, '46-60': {'total': 2, 'percentage': '11.76%'}, '61-75': {'total': 2, 'percentage': '11.76%'}, '76-90': {'total': 2, 'percentage': '11.76%'}, '91-105': {'total': 3, 'percentage': '17.65%'}, '106-120': {'total': 5, 'percentage': '29.41%'}}","{'0-15': {'total': None, 'percentage': None}, '16-30': {'total': None, 'percentage': None}, '31-45': {'total': None, 'percentage': None}, '46-60': {'total': None, 'percentage': None}, '61-75': {'total': None, 'percentage': None}, '76-90': {'total': None, 'percentage': None}, '91-105': {'total': None, 'percentage': None}, '106-120': {'total': None, 'percentage': None}}",0,0,0%
1,Croatia,4-3-3,2,0%,3,1.1,1.0,0,0,0,0,0,"{'0-15': {'total': None, 'percentage': None}, '16-30': {'total': None, 'percentage': None}, '31-45': {'total': 3, 'percentage': '37.50%'}, '46-60': {'total': 1, 'percentage': '12.50%'}, '61-75': {'total': None, 'percentage': None}, '76-90': {'total': 2, 'percentage': '25.00%'}, '91-105': {'total': None, 'percentage': None}, '106-120': {'total': 2, 'percentage': '25.00%'}}","{'0-15': {'total': None, 'percentage': None}, '16-30': {'total': None, 'percentage': None}, '31-45': {'total': None, 'percentage': None}, '46-60': {'total': None, 'percentage': None}, '61-75': {'total': None, 'percentage': None}, '76-90': {'total': None, 'percentage': None}, '91-105': {'total': None, 'percentage': None}, '106-120': {'total': None, 'percentage': None}}",0,0,0%
2,Netherlands,3-4-1-2,2,0%,0,2.0,0.8,0,0,0,0,0,"{'0-15': {'total': None, 'percentage': None}, '16-30': {'total': None, 'percentage': None}, '31-45': {'total': 1, 'percentage': '8.33%'}, '46-60': {'total': 3, 'percentage': '25.00%'}, '61-75': {'total': None, 'percentage': None}, '76-90': {'total': 3, 'percentage': '25.00%'}, '91-105': {'total': None, 'percentage': None}, '106-120': {'total': 3, 'percentage': '25.00%'}, '': {'total': 2, 'percentage': '16.67%'}}","{'0-15': {'total': None, 'percentage': None}, '16-30': {'total': None, 'percentage': None}, '31-45': {'total': None, 'percentage': None}, '46-60': {'total': None, 'percentage': None}, '61-75': {'total': None, 'percentage': None}, '76-90': {'total': None, 'percentage': None}, '91-105': {'total': None, 'percentage': None}, '106-120': {'total': 1, 'percentage': '100.00%'}}",0,0,0%
3,Brazil,4-2-3-1,2,0%,1,1.6,0.6,0,0,0,0,0,"{'0-15': {'total': 1, 'percentage': '16.67%'}, '16-30': {'total': 1, 'percentage': '16.67%'}, '31-45': {'total': None, 'percentage': None}, '46-60': {'total': 1, 'percentage': '16.67%'}, '61-75': {'total': 1, 'percentage': '16.67%'}, '76-90': {'total': 2, 'percentage': '33.33%'}, '91-105': {'total': None, 'percentage': None}, '106-120': {'total': None, 'percentage': None}}","{'0-15': {'total': None, 'percentage': None}, '16-30': {'total': None, 'percentage': None}, '31-45': {'total': None, 'percentage': None}, '46-60': {'total': None, 'percentage': None}, '61-75': {'total': None, 'percentage': None}, '76-90': {'total': None, 'percentage': None}, '91-105': {'total': None, 'percentage': None}, '106-120': {'total': None, 'percentage': None}}",0,0,0%
4,France,4-2-3-1,1,0%,1,2.3,1.1,0,0,0,0,0,"{'0-15': {'total': None, 'percentage': None}, '16-30': {'total': None, 'percentage': None}, '31-45': {'total': 3, 'percentage': '37.50%'}, '46-60': {'total': 2, 'percentage': '25.00%'}, '61-75': {'total': None, 'percentage': None}, '76-90': {'total': 2, 'percentage': '25.00%'}, '91-105': {'total': None, 'percentage': None}, '106-120': {'total': None, 'percentage': None}, '': {'total': 1, 'percentage': '12.50%'}}","{'0-15': {'total': None, 'percentage': None}, '16-30': {'total': None, 'percentage': None}, '31-45': {'total': None, 'percentage': None}, '46-60': {'total': None, 'percentage': None}, '61-75': {'total': None, 'percentage': None}, '76-90': {'total': None, 'percentage': None}, '91-105': {'total': None, 'percentage': None}, '106-120': {'total': None, 'percentage': None}}",0,0,0%
5,England,4-3-3,3,0%,1,2.6,0.8,0,0,0,0,0,"{'0-15': {'total': None, 'percentage': None}, '16-30': {'total': None, 'percentage': None}, '31-45': {'total': None, 'percentage': None}, '46-60': {'total': None, 'percentage': None}, '61-75': {'total': None, 'percentage': None}, '76-90': {'total': 1, 'percentage': '100.00%'}, '91-105': {'total': None, 'percentage': None}, '106-120': {'total': None, 'percentage': None}}","{'0-15': {'total': None, 'percentage': None}, '16-30': {'total': None, 'percentage': None}, '31-45': {'total': None, 'percentage': None}, '46-60': {'total': None, 'percentage': None}, '61-75': {'total': None, 'percentage': None}, '76-90': {'total': None, 'percentage': None}, '91-105': {'total': None, 'percentage': None}, '106-120': {'total': None, 'percentage': None}}",0,0,0%
6,Morocco,4-3-3,4,0%,3,0.9,0.7,0,0,0,0,0,"{'0-15': {'total': None, 'percentage': None}, '16-30': {'total': 1, 'percentage': '11.11%'}, '31-45': {'total': None, 'percentage': None}, '46-60': {'total': None, 'percentage': None}, '61-75': {'total': 2, 'percentage': '22.22%'}, '76-90': {'total': 3, 'percentage': '33.33%'}, '91-105': {'total': 3, 'percentage': '33.33%'}, '106-120': {'total': None, 'percentage': None}}","{'0-15': {'total': None, 'percentage': None}, '16-30': {'total': None, 'percentage': None}, '31-45': {'total': None, 'percentage': None}, '46-60': {'total': None, 'percentage': None}, '61-75': {'total': None, 'percentage': None}, '76-90': {'total': None, 'percentage': None}, '91-105': {'total': 1, 'percentage': '100.00%'}, '106-120': {'total': None, 'percentage': None}}",0,0,0%
7,Portugal,4-3-3,1,0%,1,2.4,1.2,0,0,0,0,0,"{'0-15': {'total': None, 'percentage': None}, '16-30': {'total': None, 'percentage': None}, '31-45': {'total': 1, 'percentage': '16.67%'}, '46-60': {'total': None, 'percentage': None}, '61-75': {'total': None, 'percentage': None}, '76-90': {'total': 3, 'percentage': '50.00%'}, '91-105': {'total': 2, 'percentage': '33.33%'}, '106-120': {'total': None, 'percentage': None}}","{'0-15': {'total': None, 'percentage': None}, '16-30': {'total': None, 'percentage': None}, '31-45': {'total': None, 'percentage': None}, '46-60': {'total': None, 'percentage': None}, '61-75': {'total': None, 'percentage': None}, '76-90': {'total': None, 'percentage': None}, '91-105': {'total': None, 'percentage': None}, '106-120': {'total': None, 'percentage': None}}",0,0,0%
